iter	Passed	Remaining
649	129393	69673
650	129572	69463
651	129884	69324
652	130091	69129
653	130318	68945
654	130592	68785
655	130858	68620
656	131117	68452
657	131371	68281
658	131624	68108
659	131850	67922
660	132048	67722
661	132312	67555
662	132590	67395
663	132879	67240
664	133135	67068
665	133417	66908
666	133706	66753
667	133962	66580
668	134277	66436
669	134549	66270
670	134823	66105
671	135112	65947
672	135439	65807
673	135849	65707
674	136018	65490
675	136328	65341
676	136634	65189
677	136882	65008
678	137154	64840
679	137580	64743
680	137847	64571
681	138182	64431
682	138463	64264
683	138675	64066
684	138960	63901
685	139255	63741
686	139523	63567
687	139791	63393
688	140154	63262
689	140426	63090
690	140733	62932
691	141021	62766
692	141304	62598
693	141651	62457
694	141907	62275
695	142284	62147
696	142629	62003
697	142921	61837
698	143151	61643
699	143369	61443
700	143744	61311
701	143983	61121
702	144231	60934
703	144454	60736
704	144682	60540
705	144949	60361
706	145414	60263
707	145622	60059
708	145972	59912
709	146263	59741
710	146724	59638
711	146907	59423
712	147218	59259
713	147478	59074
714	147724	58882
715	148023	58713
716	148253	58515
717	148483	58318
718	148822	58162
719	149100	57983
720	149304	57775
721	149593	57599
722	149869	57418
723	150063	57206
724	150251	56991
725	150468	56788
726	150745	56607
727	151012	56422
728	151225	56216
729	151535	56047
730	151853	55880
731	152158	55708
732	152484	55543
733	152788	55370
734	153112	55204
735	153454	55043
736	153644	54828
737	153929	54647
738	154153	54444
739	154394	54246
740	154679	54064
741	154917	53866
742	155272	53708
743	155530	53516
744	155739	53306
745	155983	53109
746	156309	52940
747	156562	52745
748	156828	52555
749	157085	52361
750	157432	52197
751	157726	52016
752	157966	51816
753	158226	51622
754	158477	51426
755	158829	51262
756	159101	51072
757	159357	50876
758	159682	50702
759	159931	50504
760	160211	50316
761	160428	50107
762	160784	49942
763	161174	49786
764	161433	49590
765	161649	49381
766	161886	49178
767	162059	48955
768	162322	48760
769	162595	48567
770	162802	48355
771	163068	48160
772	163235	47935
773	163490	47737
774	163714	47530
775	163916	47316
776	164238	47136
777	164545	46952
778	164778	46747
779	165190	46592
780	165457	46395
781	165676	46185
782	165903	45978
783	166175	45783
784	166469	45593
785	166811	45416
786	167036	45208
787	167273	45002
788	167478	44788
789	167800	44605
790	168025	44396
791	168256	44188
792	168446	43970
793	168784	43790
794	169042	43589
795	169248	43375
796	169514	43176
797	169775	42975
798	170230	42823
799	170532	42633
800	170807	42435
801	171052	42229
802	171385	42045
803	171760	41872
804	172148	41700
805	172415	41499
806	172664	41293
807	172939	41094
808	173298	40914
809	173604	40722
810	173946	40537
811	174201	40332
812	174479	40132
813	174779	39937
814	175159	39760
815	175492	39571
816	175832	39384
817	176075	39175
818	176427	38990
819	176762	38801
820	177044	38600
821	177379	38410
822	177824	38244
823	178110	38043
824	178431	37849
825	178621	37627
826	178829	37409
827	179069	37197
828	179309	36986
829	179637	36793
830	179928	36591
831	180129	36372
832	180387	36164
833	180663	35959
834	180980	35762
835	181222	35550
836	181454	35336
837	181712	35128
838	181965	34918
839	182229	34710
840	182411	34486
841	182619	34268
842	182861	34056
843	183158	33853
844	183377	33637
845	183575	33416
846	183790	33199
847	184099	32998
848	184422	32800
849	184732	32599
850	185222	32430
851	185503	32223
852	185765	32013
853	186012	31800
854	186229	31582
855	186462	31367
856	186688	31151
857	186923	30936
858	187201	30728
859	187472	30518
860	187788	30316
861	188163	30123
862	188499	29924
863	188828	29723
864	189158	29521
865	189375	29302
866	189744	29107
867	190040	28900
868	190255	28680
869	190490	28464
870	190805	28259
871	191115	28053
872	191386	27842
873	191613	27623
874	191880	27411
875	192114	27194
876	192388	26982
877	192725	26779
878	193076	26578
879	193351	26366
880	193597	26150
881	193797	25927
882	193990	25704
883	194208	25484
884	194406	25261
885	194803	25065
886	195162	24862
887	195511	24659
888	195764	24443
889	195985	24222
890	196170	23998
891	196419	23781
892	196718	23570
893	196915	23347
894	197175	23132
895	197425	22915
896	197684	22699
897	197931	22482
